app_id,app_name,service_id,service_name,priority,latency_max_ms,throughput_min_kbps,availability_target,compute_intensity,statefulness,redundancy_required,scalability_factor,cpu_demand,mem_demand_gib,bandwidth_mbps,state_size_mb,zone_id,callable_from_circuit
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,CRITICAL,500,50,99.9,LOW,STATELESS,YES,0.2,0.6,0.5,0.05,0,ZEMG,YES
APP-EME,Emergency,EME-S02,Alert Routing & Prioritization,CRITICAL,500,100,99.9,LOW,STATELESS,YES,0.019,0.6,0.5,0.1,0,ZEMG,YES
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,CRITICAL,300,200,99.9,MEDIUM,STATEFUL,YES,0.039,1.0,1.5,0.2,60.0,ZEMG,YES
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,HIGH,300,128,99.9,LOW,STATEFUL,YES,0.079,0.6,0.5,0.128,20.0,ZEMG,YES
APP-EME,Emergency,EME-S05,Vital Signs Streaming,MEDIUM,1000,256,99,LOW,STATEFUL,NO,0.019,0.6,0.5,0.256,20.0,ZEMG,YES
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,CRITICAL,2000,5000,99,LOW,STATELESS,NO,0.2,0.6,0.5,5.0,0,ZPIT,YES
APP-TEL,Telemetry,TEL-S02,Data Aggregation,HIGH,2000,10000,99,MEDIUM,STATEFUL,NO,0.079,1.0,1.5,10.0,60.0,ZPIT,YES
APP-TEL,Telemetry,TEL-S03,Hazard Detection Engine,HIGH,1000,2000,,HIGH,STATEFUL,NO,0.002,1.5,4.0,2.0,200.0,ZPIT,YES
APP-TEL,Telemetry,TEL-S04,Historical Storage,HIGH,5000,20000,,HIGH,STATEFUL,NO,0.001,1.5,4.0,20.0,400.0,ZPIT,YES
APP-TEL,Telemetry,TEL-S05,Weather Data Processing,MEDIUM,900000,500,,LOW,STATELESS,NO,0.02,0.6,0.5,0.5,0,ZPIT,YES
APP-COM,Communication,COM-S01,Voice Communication Core,CRITICAL,300,128,99.9,MEDIUM,STATEFUL,YES,0.15,1.0,1.5,0.128,60.0,ZSTART,YES
APP-COM,Communication,COM-S02,Push-to-Talk Group,HIGH,300,64,,LOW,STATELESS,NO,0.079,0.6,0.5,0.064,0,ZSTART,YES
APP-COM,Communication,COM-S03,Data Messaging,MEDIUM,1000,256,,LOW,STATELESS,NO,0.079,0.6,0.5,0.256,0,ZSTART,YES
APP-COM,Communication,COM-S04,Bivouac Broadband,HIGH,100,50000,,HIGH,STATEFUL,NO,0.002,1.5,4.0,50.0,200.0,ZSTART,YES
APP-RET,Broadcasting,RET-S01,Video Encoding (H.265),CRITICAL,1000,20000,,HIGH,STATEFUL,NO,0.004,1.5,4.0,20.0,200.0,ZSTART,YES
APP-RET,Broadcasting,RET-S02,Multi-stream Aggregator,CRITICAL,3000,200000,,HIGH,STATEFUL,NO,0.001,1.5,4.0,200.0,200.0,ZSTART,YES
APP-RET,Broadcasting,RET-S03,Stream Distributor,HIGH,3000,100000,,MEDIUM,STATELESS,NO,0.002,1.0,1.5,100.0,0,ZSTART,YES
APP-RET,Broadcasting,RET-S04,Low-latency Social Stream,MEDIUM,10000,5000,,LOW,STATELESS,NO,0.004,0.6,0.5,5.0,0,ZSTART,YES
APP-SYS,System,SYS-S01,Network Orchestrator,CRITICAL,500,, ,HIGH,STATEFUL,YES,0.001,1.5,4.0,,200.0,ZSTART,YES
APP-SYS,System,SYS-S02,Network Monitoring,HIGH,2000,10000,,MEDIUM,STATEFUL,NO,0.001,1.0,1.5,10.0,60.0,ZSTART,YES
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,CRITICAL,200,,,HIGH,STATEFUL,YES,0.019,1.5,4.0,,200.0,ZSTART,YES
